simulator,node,gpu,n_neurons,ncomp,n_steps,rep,wall_s
GENESIS 2.5,inf02,A40,10000,16,1000,1,1.5575
GENESIS 2.5,inf02,A40,10000,16,1000,2,1.4870
GENESIS 2.5,inf02,A40,10000,16,1000,3,1.4730
Arbor 0.10.0,inf02,A40,10000,16,1000,1,1.387
Arbor 0.10.0,inf02,A40,10000,16,1000,2,1.391
Arbor 0.10.0,inf02,A40,10000,16,1000,3,1.383
GENESIS 2.5,inf02,A40,10000,16,2500,1,1.6855
GENESIS 2.5,inf02,A40,10000,16,2500,2,1.6907
GENESIS 2.5,inf02,A40,10000,16,2500,3,1.6853
Arbor 0.10.0,inf02,A40,10000,16,2500,1,1.807
Arbor 0.10.0,inf02,A40,10000,16,2500,2,1.788
Arbor 0.10.0,inf02,A40,10000,16,2500,3,1.781
GENESIS 2.5,inf02,A40,10000,16,5000,1,2.0257
GENESIS 2.5,inf02,A40,10000,16,5000,2,2.0274
GENESIS 2.5,inf02,A40,10000,16,5000,3,2.0160
Arbor 0.10.0,inf02,A40,10000,16,5000,1,2.483
Arbor 0.10.0,inf02,A40,10000,16,5000,2,2.507
Arbor 0.10.0,inf02,A40,10000,16,5000,3,2.482
GENESIS 2.5,inf02,A40,10000,16,10000,1,2.7598
GENESIS 2.5,inf02,A40,10000,16,10000,2,2.7576
GENESIS 2.5,inf02,A40,10000,16,10000,3,2.7553
Arbor 0.10.0,inf02,A40,10000,16,10000,1,3.881
Arbor 0.10.0,inf02,A40,10000,16,10000,2,3.880
Arbor 0.10.0,inf02,A40,10000,16,10000,3,3.873
GENESIS 2.5,inf02,A40,10000,16,20000,1,4.1611
GENESIS 2.5,inf02,A40,10000,16,20000,2,4.1802
GENESIS 2.5,inf02,A40,10000,16,20000,3,4.1828
Arbor 0.10.0,inf02,A40,10000,16,20000,1,6.686
Arbor 0.10.0,inf02,A40,10000,16,20000,2,6.664
Arbor 0.10.0,inf02,A40,10000,16,20000,3,6.699
GENESIS 2.5,inf02,A40,10000,16,50000,1,8.3168
GENESIS 2.5,inf02,A40,10000,16,50000,2,8.3117
GENESIS 2.5,inf02,A40,10000,16,50000,3,8.3915
Arbor 0.10.0,inf02,A40,10000,16,50000,1,15.035
Arbor 0.10.0,inf02,A40,10000,16,50000,2,15.051
Arbor 0.10.0,inf02,A40,10000,16,50000,3,15.041
