simulator,backend,driven,rep,wall_s
GENESIS 2.5,GPU,1,1,1.6767
GENESIS 2.5,GPU,1,2,1.6058
GENESIS 2.5,GPU,1,3,1.6059
Arbor 0.10.0,GPU,1,1,1.577
Arbor 0.10.0,GPU,1,2,1.555
Arbor 0.10.0,GPU,1,3,1.542
NEURON 9.0.2,CPU,1,1,86.049
NEURON 9.0.2,CPU,1,2,83.826
NEURON 9.0.2,CPU,1,3,86.440
GENESIS 2.5,GPU,0,1,1.7724
GENESIS 2.5,GPU,0,2,1.6036
GENESIS 2.5,GPU,0,3,1.5925
Arbor 0.10.0,GPU,0,1,1.568
Arbor 0.10.0,GPU,0,2,1.553
Arbor 0.10.0,GPU,0,3,1.559
NEURON 9.0.2,CPU,0,1,84.603
NEURON 9.0.2,CPU,0,2,84.288
NEURON 9.0.2,CPU,0,3,85.891
