t_ms,vm_soma_mV,vm_far_mV
0.00000,-70.000000,-70.000000
0.01000,-69.643509,-69.981189
0.02000,-69.320186,-69.962458
0.03000,-69.018607,-69.943805
0.04000,-68.733138,-69.925227
0.05000,-68.460552,-69.906723
0.06000,-68.198757,-69.888285
0.07000,-67.946276,-69.869907
0.08000,-67.702000,-69.851575
0.09000,-67.465060,-69.833275
0.10000,-67.234753,-69.814987
0.11000,-67.010499,-69.796686
0.12000,-66.791808,-69.778345
0.13000,-66.578260,-69.759930
0.14000,-66.369494,-69.741407
0.15000,-66.165190,-69.722737
0.16000,-65.965067,-69.703881
0.17000,-65.768875,-69.684797
0.18000,-65.576388,-69.665444
0.19000,-65.387403,-69.645780
0.20000,-65.201733,-69.625765
0.21000,-65.019211,-69.605359
0.22000,-64.839680,-69.584524
0.23000,-64.662996,-69.563225
0.24000,-64.489028,-69.541428
0.25000,-64.317651,-69.519102
0.26000,-64.148750,-69.496219
0.27000,-63.982216,-69.472752
0.28000,-63.817949,-69.448679
0.29000,-63.655851,-69.423979
0.30000,-63.495834,-69.398633
0.31000,-63.337810,-69.372628
0.32000,-63.181699,-69.345948
0.33000,-63.027422,-69.318585
0.34000,-62.874906,-69.290529
0.35000,-62.724080,-69.261774
0.36000,-62.574875,-69.232315
0.37000,-62.427225,-69.202149
0.38000,-62.281068,-69.171276
0.39000,-62.136343,-69.139695
0.40000,-61.992991,-69.107408
0.41000,-61.850954,-69.074418
0.42000,-61.710177,-69.040729
0.43000,-61.570607,-69.006347
0.44000,-61.432190,-68.971278
0.45000,-61.294875,-68.935527
0.46000,-61.158612,-68.899103
0.47000,-61.023352,-68.862015
0.48000,-60.889046,-68.824270
0.49000,-60.755648,-68.785878
0.50000,-60.623111,-68.746848
0.51000,-60.491388,-68.707192
0.52000,-60.360434,-68.666918
0.53000,-60.230206,-68.626037
0.54000,-60.100657,-68.584560
0.55000,-59.971745,-68.542498
0.56000,-59.843427,-68.499861
0.57000,-59.715657,-68.456661
0.58000,-59.588395,-68.412907
0.59000,-59.461596,-68.368611
0.60000,-59.335218,-68.323784
