t_ms,vm_soma_mV,vm_far_mV
0.01,-69.64511793,-69.99995773
0.02,-69.31999594,-69.99991539
0.03,-69.01714321,-69.99987292
0.04,-68.73193179,-69.99982946
0.05,-68.46127119,-69.99978319
0.06,-68.20296399,-69.99973075
0.07,-67.95536883,-69.99966663
0.08,-67.71721162,-69.99958261
0.09,-67.48747294,-69.99946722
0.1,-67.26531716,-69.99930549
0.11,-67.05004565,-69.99907873
0.12,-66.84106469,-69.99876464
0.13,-66.63786274,-69.99833753
0.14,-66.43999379,-69.99776866
0.15,-66.24706501,-69.99702679
0.16,-66.05872726,-69.9960787
0.17,-65.87466773,-69.99488978
0.18,-65.69460419,-69.99342463
0.19,-65.51828035,-69.99164761
0.2,-65.34546206,-69.98952337
0.21,-65.17593432,-69.98701732
0.22,-65.00949866,-69.98409599
0.23,-64.84597111,-69.98072737
0.24,-64.68518034,-69.9768812
0.25,-64.52696621,-69.97252915
0.26,-64.37117844,-69.96764494
0.27,-64.21767555,-69.96220448
0.28,-64.06632386,-69.95618587
0.29,-63.91699667,-69.94956945
0.3,-63.76957358,-69.94233773
0.31,-63.62393979,-69.93447539
0.32,-63.47998555,-69.92596916
0.33,-63.33760571,-69.91680779
0.34,-63.19669921,-69.90698191
0.35,-63.05716872,-69.89648391
0.36,-62.91892027,-69.8853079
0.37,-62.78186293,-69.8734495
0.38,-62.64590852,-69.86090579
0.39,-62.51097132,-69.8476752
0.4,-62.37696785,-69.83375732
0.41,-62.24381663,-69.8191529
0.42,-62.11143796,-69.80386363
0.43,-61.97975377,-69.78789214
0.44,-61.84868737,-69.77124182
0.45,-61.71816335,-69.7539168
0.46,-61.58810735,-69.73592179
0.47,-61.45844596,-69.71726206
0.48,-61.32910655,-69.69794332
0.49,-61.20001713,-69.67797168
0.5,-61.07110623,-69.65735355
0.51,-60.94230273,-69.63609563
0.52,-60.81353579,-69.61420477
0.53,-60.68473467,-69.59168801
0.54,-60.55582861,-69.56855245
0.55,-60.42674676,-69.54480526
0.56,-60.29741798,-69.52045361
0.57,-60.16777079,-69.49550463
0.58,-60.03773318,-69.46996538
0.59,-59.90723211,-69.44384283
0.6,-59.77619465,-69.41714382
0.61,-59.64454652,-69.389875
0.62,-59.51221243,-69.36204286
0.63,-59.37911593,-69.33365368
0.64,-59.24517925,-69.30471349
0.65,-59.11032321,-69.27522808
0.66,-58.974467,-69.24520297
0.67,-58.83752804,-69.21464337
0.68,-58.69942185,-69.18355421
0.69,-58.56006182,-69.15194009
0.7,-58.41935908,-69.11980528
0.71,-58.27722224,-69.08715368
0.72,-58.13355718,-69.05398887
0.73,-57.98826699,-69.02031403
0.74,-57.84125164,-68.98613195
0.75,-57.69240771,-68.95144504
0.76,-57.54162817,-68.91625532
