t_ms,vm_soma_mV,vm_far_mV
0.01,-69.64511869,-69.99996073
0.02,-69.31999824,-69.99992364
0.03,-69.01715058,-69.99988617
0.04,-68.7319411,-69.99984769
0.05,-68.46128295,-69.99980641
0.06,-68.2029769,-69.99975678
0.07,-67.95538682,-69.99969359
0.08,-67.71723891,-69.99961308
0.09,-67.48749807,-69.99949993
0.1,-67.26534414,-69.99934102
0.11,-67.05006924,-69.99911842
0.12,-66.84109423,-69.99880825
0.13,-66.63789711,-69.99838252
0.14,-66.44002336,-69.99781686
0.15,-66.24709371,-69.99707227
0.16,-66.05875014,-69.99612293
0.17,-65.87468765,-69.99493498
0.18,-65.69462986,-69.99346731
0.19,-65.51830107,-69.99168624
0.2,-65.34549056,-69.98955799
0.21,-65.17596586,-69.98704824
0.22,-65.00952861,-69.98412458
0.23,-64.84600064,-69.98075313
0.24,-64.6852165,-69.97691035
0.25,-64.52700232,-69.97255912
0.26,-64.37121388,-69.96767834
0.27,-64.21771038,-69.96223605
0.28,-64.06635186,-69.95621261
0.29,-63.91702626,-69.94959225
0.3,-63.76960112,-69.9423601
0.31,-63.62396474,-69.93449996
0.32,-63.4800097,-69.9259943
0.33,-63.3376308,-69.91683275
0.34,-63.19672244,-69.90700414
0.35,-63.05719864,-69.89650087
0.36,-62.91895396,-69.88532666
0.37,-62.78189637,-69.87346972
0.38,-62.64594067,-69.86091901
0.39,-62.51100734,-69.84768409
0.4,-62.37699746,-69.83376539
0.41,-62.24384652,-69.81916443
0.42,-62.11147151,-69.80387813
0.43,-61.97978846,-69.78790974
0.44,-61.8487209,-69.77126091
0.45,-61.71819867,-69.75393345
0.46,-61.58814611,-69.73593753
0.47,-61.45848775,-69.71728234
0.48,-61.32914525,-69.69796445
0.49,-61.2000575,-69.67799042
0.5,-61.07114549,-69.65737502
0.51,-60.94234441,-69.63611833
0.52,-60.8135789,-69.61423046
0.53,-60.68477444,-69.59171143
0.54,-60.5558696,-69.56857191
0.55,-60.42678628,-69.5448253
0.56,-60.29746162,-69.52046928
0.57,-60.16781738,-69.4955209
