t_ms,vm_soma_mV,vm_far_mV
0.00000,-70.000000,-70.000000
0.01250,-69.563962,-69.976511
0.02500,-69.172248,-69.953146
0.03750,-68.809065,-69.929899
0.05000,-68.466917,-69.906764
0.06250,-68.141544,-69.883726
0.07500,-67.830187,-69.860766
0.08750,-67.530887,-69.837854
0.10000,-67.242171,-69.814953
0.11250,-66.962886,-69.792013
0.12500,-66.692100,-69.768976
0.13750,-66.429041,-69.745777
0.15000,-66.173059,-69.722344
0.16250,-65.923600,-69.698600
0.17500,-65.680182,-69.674469
0.18750,-65.442382,-69.649871
0.20000,-65.209827,-69.624728
0.21250,-64.982183,-69.598967
0.22500,-64.759152,-69.572517
0.23750,-64.540460,-69.545312
0.25000,-64.325860,-69.517294
0.26250,-64.115125,-69.488406
0.27500,-63.908047,-69.458602
0.28750,-63.704432,-69.427841
0.30000,-63.504099,-69.396086
0.31250,-63.306878,-69.363308
0.32500,-63.112612,-69.329482
0.33750,-62.921155,-69.294591
0.35000,-62.732364,-69.258621
0.36250,-62.546105,-69.221562
0.37500,-62.362249,-69.183409
0.38750,-62.180676,-69.144162
0.40000,-62.001270,-69.103823
0.41250,-61.823922,-69.062397
0.42500,-61.648521,-69.019891
0.43750,-61.474961,-68.976318
0.45000,-61.303141,-68.931687
0.46250,-61.132964,-68.886015
0.47500,-60.964336,-68.839315
0.48750,-60.797165,-68.791605
0.50000,-60.631356,-68.742902
0.51250,-60.466818,-68.693226
0.52500,-60.303463,-68.642596
0.53750,-60.141205,-68.591032
0.55000,-59.979960,-68.538555
0.56250,-59.819646,-68.485185
0.57500,-59.660173,-68.430943
0.58750,-59.501457,-68.375850
0.60000,-59.343413,-68.319927
0.61250,-59.185960,-68.263194
0.62500,-59.029017,-68.205671
0.63750,-58.872503,-68.147380
0.65000,-58.716332,-68.088338
0.66250,-58.560416,-68.028565
0.67500,-58.404670,-67.968079
0.68750,-58.249010,-67.906899
0.70000,-58.093350,-67.845039
0.71250,-57.937608,-67.782518
0.72500,-57.781695,-67.719349
0.73750,-57.625516,-67.655549
0.75000,-57.468977,-67.591131
0.76250,-57.311985,-67.526110
0.77500,-57.154447,-67.460498
0.78750,-56.996269,-67.394308
